date,mrp,smb,hml,rf,datenum
20111007,-0.0098,-0.0127,-0.0134,0,734783
20111010,0.0344,0.0047,0.006,0,734786
20111011,0.0015,0.0069,-0.0017,0,734787
20111012,0.0107,0.005,0.009,0,734788
20111013,-0.0021,0.0025,-0.0121,0,734789
20111014,0.0172,0.0015,-0.0037,0,734790
20111017,-0.0206,-0.0129,-0.0045,0,734793
20111018,0.0211,0.0063,0.0151,0,734794
20111019,-0.0138,-0.0077,0.0037,0,734795
20111020,0.0042,-0.003,0.007,0,734796
20111021,0.0192,0.0014,0.0001,0,734797
20111024,0.0159,0.0176,-0.0038,0,734800
20111025,-0.0213,-0.0089,-0.0034,0,734801
20111026,0.0112,0.007,0.0078,0,734802
20111027,0.0354,0.0141,0.0083,0,734803
20111028,-0.0001,-0.0057,-0.0045,0,734804
20111031,-0.025,0.0005,-0.008,0,734807
20111101,-0.0286,-0.0053,-0.0108,0,734808
20111102,0.0172,0.0077,0.01,0,734809
20111103,0.0197,0.0059,-0.0012,0,734810
20111104,-0.0053,0.0003,-0.0058,0,734811
20111107,0.0048,-0.0071,0.004,0,734814
20111108,0.0121,0,0.0047,0,734815
20111109,-0.0378,-0.0081,-0.0064,0,734816
20111110,0.0083,0.0005,0.0057,0,734817
20111111,0.0198,0.0048,-0.0022,0,734818
20111114,-0.0092,-0.0047,-0.008,0,734821
20111115,0.0056,0.0088,-0.0026,0,734822
20111116,-0.0164,-0.0016,-0.0019,0,734823
20111117,-0.0165,0.0019,0.0019,0,734824
20111118,-0.0007,0.0006,0.0091,0,734825
20111121,-0.0187,-0.005,-0.0007,0,734828
20111122,-0.0044,-0.0026,-0.0056,0,734829
20111123,-0.0229,-0.007,-0.0029,0,734830
20111125,-0.0034,-0.01,0.0047,0,734832
20111128,0.031,0.0162,-0.007,0,734835
20111129,0.0018,-0.0049,0.0017,0,734836
20111130,0.0444,0.0105,0.0108,0,734837
20111201,-0.0022,-0.005,-0.0065,0,734838
20111202,0.0005,0.0045,0.0064,0,734839
20111205,0.0109,0.0027,0.003,0,734842
20111206,0.0004,-0.0008,0.0008,0,734843
20111207,0.0016,-0.0031,0.0073,0,734844
20111208,-0.0223,-0.0074,-0.0099,0,734845
20111209,0.0183,0.0132,0.0007,0,734846
20111212,-0.0148,0.0004,-0.0044,0,734849
20111213,-0.0105,-0.0104,0.0012,0,734850
20111214,-0.0121,-0.0026,0.0091,0,734851
20111215,0.004,0.0065,0.0012,0,734852
20111216,0.0045,0.0023,-0.001,0,734853
20111219,-0.0131,-0.0043,-0.007,0,734856
20111220,0.031,0.008,0.0031,0,734857
20111221,0.002,-0.0003,0.0131,0,734858
20111222,0.0083,-0.0021,0.0069,0,734859
20111223,0.0084,-0.0058,-0.0016,0,734860
20111227,0.0004,0.0047,-0.0052,0,734864
20111228,-0.0134,-0.0073,-0.0004,0,734865
20111229,0.011,0.0019,0.0024,0,734866
20111230,-0.004,-0.0007,-0.0014,0,734867
20120103,0.015,-0.0016,0.0087,0,734871
20120104,0,-0.0066,0.0009,0,734872
20120105,0.0039,0.0019,0.0014,0,734873
20120106,-0.0019,0.0001,-0.0026,0,734874
20120109,0.0028,0.0023,-0.0005,0,734877
20120110,0.0097,0.004,0.004,0,734878
20120111,0.0013,0.0016,0.0035,0,734879
20120112,0.0031,0.003,0.0001,0,734880
20120113,-0.0052,-0.0026,-0.0045,0,734881
20120117,0.0036,-0.0011,-0.0072,0,734885
20120118,0.0122,0.0056,0.0015,0,734886
20120119,0.0051,-0.0015,-0.0022,0,734887
20120120,0.0003,0.0024,0.0065,0,734888
20120123,0.0002,-0.0027,0.0013,0,734891
20120124,0,0.0084,-0.004,0,734892
20120125,0.0091,0.0011,-0.0072,0,734893
20120126,-0.0059,0.0025,-0.0055,0,734894
20120127,0.0001,0.0085,-0.0011,0,734895
20120130,-0.0031,-0.0045,-0.003,0,734898
20120131,-0.0005,-0.0005,0.0002,0,734899
20120201,0.011,0.0112,0.0036,0,734900
20120202,0.0017,0.0041,-0.0005,0,734901
20120203,0.0158,0.0059,0.0033,0,734902
20120206,-0.0005,-0.0027,-0.002,0,734905
20120207,0.0016,-0.0029,-0.0009,0,734906
20120208,0.0025,-0.0013,0.0042,0,734907
20120209,0.0015,-0.0035,-0.0038,0,734908
20120210,-0.0075,-0.0059,-0.001,0,734909
20120213,0.0075,0.0059,-0.0006,0,734912
20120214,-0.0009,-0.0041,-0.0041,0,734913
20120215,-0.005,-0.0023,0.001,0,734914
20120216,0.0127,0.0069,0.0028,0,734915
